"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
388,"FRME","First Merchants Corp","Financial","Banks - Regional","USA",2309.40,9.38,36.43,-0.33%,597467
389,"FRMI","Fermi Inc","Real Estate","REIT - Specialty","USA",4887.64,,7.96,-1.73%,5748701
390,"FRO","Frontline Plc","Energy","Oil & Gas Midstream","Cyprus",6718.76,17.72,30.18,-1.92%,4572230
391,"FROG","JFrog Ltd","Technology","Software - Application","USA",4913.16,,41.07,-1.96%,1797317
392,"FRPT","Freshpet Inc","Consumer Defensive","Packaged Foods","USA",3757.78,29.85,76.60,-1.85%,1455012
393,"FRSH","Freshworks Inc","Technology","Software - Application","USA",2310.02,12.55,8.13,2.26%,5275272
394,"FRT","Federal Realty Investment Trust","Real Estate","REIT - Retail","USA",9070.04,22.38,104.49,-0.82%,492464
395,"FSK","FS KKR Capital Corp","Financial","Asset Management","USA",2825.87,256.74,10.09,-1.46%,4076633
396,"FSLY","Fastly Inc","Technology","Software - Application","USA",3731.24,,24.58,1.49%,9640197
397,"FSM","Fortuna Mining Corp","Basic Materials","Gold","Canada",3141.13,11.03,10.29,-6.79%,7195963
398,"FSS","Federal Signal Corp","Industrials","Pollution & Treatment Controls","USA",6418.83,26.28,105.42,-1.31%,675944
399,"FSV","FirstService Corp","Real Estate","Real Estate Services","Canada",6494.22,44.60,141.24,-0.51%,243170
400,"FTDR","Frontdoor Inc","Consumer Cyclical","Personal Services","USA",4463.04,18.46,63.20,0.03%,594034
401,"FUL","H.B. Fuller Company","Basic Materials","Specialty Chemicals","USA",2955.84,19.71,54.26,-1.88%,509115
402,"FULT","Fulton Financial Corp","Financial","Banks - Regional","USA",3537.21,9.45,19.65,-0.35%,2519049
403,"G","Genpact Ltd","Technology","Information Technology Services","Bermuda",6505.78,12.24,38.30,0.39%,2200925
404,"GAP","Gap, Inc","Consumer Cyclical","Apparel Retail","USA",8643.46,10.83,23.24,0.48%,8016220
405,"GATX","GATX Corp","Industrials","Rental & Leasing Services","USA",5981.75,18.48,168.50,-0.83%,175997
406,"GBCI","Glacier Bancorp, Inc","Financial","Banks - Regional","USA",5652.88,21.80,43.48,-1.27%,808696
407,"GBDC","Golub Capital BDC Inc","Financial","Asset Management","USA",3150.84,9.63,11.97,-1.32%,4156808
